ID,BUG_TYPE,FILE_PATH,LINE_NUMBER,BUG_DESCRIPTION
1518377855.8917792___1,MEMORY_LEAK,HelloWorld/AppDelegate.m,18,"   memory dynamically allocated to `shadowPath` by call to `CGPathCreateWithRect()` at line 18, column 28 is not reachable after line 18, column 5"
1518377855.8917792___2,RESOURCE_LEAK,HelloWorld/AppDelegate.m,23,"   resource acquired to `fp` by call to `fopen()` at line 23, column 10 is not released after line 23, column 5"
