class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
PROVER,ERROR,MEMORY_LEAK," memory dynamically allocated to `shadowPath` by call to `CGPathCreateWithRect()` at line 18, column 28 is not reachable after line 18, column 5",HIGH,18,"AppDelegate_memory_leak_bug","memory_leak_bug#AppDelegate#instance.1502bee297f1bacf79840ec56811f6ce",HelloWorld/AppDelegate.m,"{""trace"":[{""level"":0,""filename"":""HelloWorld/AppDelegate.m"",""line_number"":17,""description"":""start of procedure memory_leak_bug"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""AppDelegate_memory_leak_bug""},{""tag"":""name_id"",""value"":""memory_leak_bug#AppDelegate#instance.1502bee297f1bacf79840ec56811f6ce""}]},{""level"":0,""filename"":""HelloWorld/AppDelegate.m"",""line_number"":18,""description"":"""",""node_tags"":[]}]}","964232141","<qualifier_tags><line>18</line><call_procedure>CGPathCreateWithRect()</call_procedure><call_line>18</call_line><value>shadowPath</value><bucket>[CF]</bucket></qualifier_tags>","904557595","1","false",""
PROVER,ERROR,RESOURCE_LEAK," resource acquired to `fp` by call to `fopen()` at line 23, column 10 is not released after line 23, column 5",HIGH,23,"AppDelegate_resource_leak_bug","resource_leak_bug#AppDelegate#instance.0207ca393280e67375f5e1e89fa72f8c",HelloWorld/AppDelegate.m,"{""trace"":[{""level"":0,""filename"":""HelloWorld/AppDelegate.m"",""line_number"":21,""description"":""start of procedure resource_leak_bug"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""AppDelegate_resource_leak_bug""},{""tag"":""name_id"",""value"":""resource_leak_bug#AppDelegate#instance.0207ca393280e67375f5e1e89fa72f8c""}]},{""level"":0,""filename"":""HelloWorld/AppDelegate.m"",""line_number"":23,""description"":"""",""node_tags"":[]}]}","964232141","<qualifier_tags><line>23</line><call_procedure>fopen()</call_procedure><call_line>23</call_line><value>fp</value></qualifier_tags>","272901531","2","false",""
